inside_temp,seat_heater_rear_right_back,fan_status,is_preconditioning,seat_heater_left,seat_heater_rear_right,is_front_defroster_on,min_avail_temp,is_rear_defroster_on,battery_heater,max_avail_temp,passenger_temp_setting,side_mirror_heaters,battery_heater_no_power,right_temp_direction,driver_temp_setting,seat_heater_right,left_temp_direction,timestamp,seat_heater_rear_center,wiper_blade_heater,is_auto_conditioning_on,seat_heater_rear_left,smart_preconditioning,is_climate_on,seat_heater_rear_left_back,steering_wheel_heater,outside_temp
25.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536222016227,False,False,False,False,False,False,0,False,25.0
25.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536222333374,False,False,False,False,False,False,0,False,25.0
25.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536223275727,False,False,False,False,False,False,0,False,25.0
25.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536224179495,False,False,False,False,False,False,0,False,25.0
27.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536225084049,False,False,False,False,False,False,0,False,25.5
27.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536225621876,False,False,False,False,False,False,0,False,25.5
27.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536225988521,False,False,False,False,False,False,0,False,25.5
28.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536226896540,False,False,False,False,False,False,0,False,25.5
28.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536227800552,False,False,False,False,False,False,0,False,25.5
27.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536228704726,False,False,False,False,False,False,0,False,26.0
26.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536229226778,False,False,False,False,False,False,0,False,26.0
26.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536229608741,False,False,False,False,False,False,0,False,26.0
26.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536230512738,False,False,False,False,False,False,0,False,26.0
26.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536231421658,False,False,False,False,False,False,0,False,26.0
25.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536250346988,False,False,False,False,False,False,0,False,22.5
27.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536250843237,False,False,False,False,False,False,0,False,22.5
27.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536251254898,False,False,False,False,False,False,0,False,22.0
30.2,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536252160947,False,False,False,False,False,False,0,False,21.0
21.9,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-139,22.2,False,-141,1536253066680,False,False,True,False,False,True,0,False,21.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-50,22.2,False,-94,1536253972130,False,False,True,False,False,True,0,False,22.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-47,22.2,False,-95,1536254448871,False,False,True,False,False,True,0,False,21.0
22.3,0,3,False,False,False,False,15.0,False,False,28.0,22.2,False,,-145,22.2,False,-151,1536254876833,False,False,True,False,False,True,0,False,20.5
25.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536255781823,False,False,False,False,False,False,0,False,21.0
25.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536256241619,False,False,False,False,False,False,0,False,21.0
25.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536256265911,False,False,False,False,False,False,0,False,21.0
24.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536256686907,False,False,False,False,False,False,0,False,21.0
30.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536271776980,False,False,False,False,False,False,0,False,19.5
30.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536272002170,False,False,False,False,False,False,0,False,19.5
26.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536272913423,False,False,False,False,False,False,0,False,19.5
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-89,22.2,False,-43,1536276521293,False,False,True,False,False,True,0,False,22.5
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-66,22.2,False,-38,1536277188561,False,False,True,False,False,True,0,False,23.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-50,22.2,False,-57,1536277427559,False,False,True,False,False,True,0,False,23.5
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-53,22.2,False,-60,1536278332349,False,False,True,False,False,True,0,False,25.0
22.3,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-163,22.2,False,-162,1536278995001,False,False,True,False,False,True,0,False,25.0
22.1,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-132,22.2,False,-144,1536279237241,False,False,True,False,False,True,0,False,25.0
24.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536280143637,False,False,False,False,False,False,0,False,25.0
25.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536280802697,False,False,False,False,False,False,0,False,25.0
25.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536281050739,False,False,False,False,False,False,0,False,25.0
25.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536281958601,False,False,False,False,False,False,0,False,25.0
25.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536282610285,False,False,False,False,False,False,0,False,25.0
25.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536282872157,False,False,False,False,False,False,0,False,25.0
27.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536283778093,False,False,False,False,False,False,0,False,26.5
22.4,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-11,22.2,False,-10,1536284416855,False,False,True,False,False,True,0,False,23.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,-5,22.2,False,-6,1536284683133,False,False,True,False,False,True,0,False,23.0
22.0,0,2,False,False,False,False,15.0,False,False,28.0,22.2,False,,6,22.2,False,6,1536285608731,False,False,True,False,False,True,0,False,21.5
